og_s1,og_s2,new_s1,new_s2,og_label,new_label,remarks
Assani said Tuesday he did not know what to charge the men with because US officials refused to share information with him.,Prosecutors said they did not know what crimes to charge the men with because U.S. officials refused to share information with them.,Assani said Tuesday he did not know what to charge the men with because US officials refused to share information with him.,Prosecutors said they did not know what crimes to charge the men with because U.S. officials refused to share information with them.,1,0,can't correct
"Researchers predicted an additional 23 cases of dementia a year for every 10,000 women on the therapy.","This represents an additional 23 cases of dementia per year in every 10,000 women treated.","Researchers predicted an additional 23 cases of dementia a year for every 10,000 women on the therapy.","This represents an additional 23 cases of dementia per year in every 10,000 women treated.",1,1,no need to correct
"Jacob has pushed consolidation for years, but he has said many communities, especially rural ones, have opposed it.","Jacob has pushed consolidation for years but said it has been opposed by many communities, especially rural ones.","Jacob has pushed consolidation for years, but he has said many communities, especially rural ones, have opposed it.","Jacob has pushed consolidation for years but said it has been opposed by many communities, especially rural ones.",1,1,no need to correct
"A slit the size of one created in the test would let in a stream of gas three times as hot as a blowtorch.""",A slit the size of one created in the test would let in a stream of gas three times hotter than a blowtorch.,"A slit the size of one created in the test would let in a stream of gas three times as hot as a blowtorch.""",A slit the size of one created in the test would let in a stream of gas three times hotter than a blowtorch.,1,1,no need to correct
Legato stockholders will get 0.9 of a share of EMC stock for every share of Legato they own.,"Under terms of the agreement, Legato stockholders will receive 0.9 shares of EMC common stock for each Legato share they hold.",Legato stockholders will get 0.9 of a share of EMC stock for every share of Legato they own.,"Under terms of the agreement, Legato stockholders will receive 0.9 shares of EMC common stock for each Legato share they hold.",1,1,no need to correct
"""The Republicans went into a closet, met with themselves, and announced a 'compromise.'""","""The Republicans went into a closet, met with themselves, and announced a compromise,"" Hollings said in a statement.","""The Republicans went into a closet, met with themselves, and announced a 'compromise.'""","""The Republicans went into a closet, met with themselves, and announced a compromise,"" Hollings said in a statement.",1,0,can't correct
Defense Secretary Donald Rumsfeld is awaiting recommendations from his commanders.,Rumsfeld is awaiting recommendations from his commanders about troop needs in Iraq.,Defense Secretary Donald Rumsfeld is awaiting recommendations from his commanders.,Rumsfeld is awaiting recommendations from his commanders about troop needs in Iraq.,0,0,no need to correct
"Goodrem, 18, announced on Friday that she was suffering Hodgkin's disease, a curable form of lymphoma cancer.","It was announced on Friday that Goodrem had been diagnosed with Hodgkin's disease, a form of cancer which affects the lymph nodes.","Goodrem, 18, announced on Friday that she was suffering Hodgkin's disease, a curable form of lymphoma cancer.","It was announced on Friday that Goodrem had been diagnosed with Hodgkin's disease, a form of cancer which affects the lymph nodes.",1,0,can't correct
"He says that ""this is a time when we priests need to be renewing our pledge to celibacy, not questioning it.","""This is the time we priests need to be renewing our pledge to celibacy, not questioning it,"" he wrote.","He says that ""this is a time when we priests need to be renewing our pledge to celibacy, not questioning it.","""This is the time we priests need to be renewing our pledge to celibacy, not questioning it,"" he wrote.",1,1,no need to correct
"Myanmar's pro-democracy leader Aung San Suu Kyi will be kept under house arrest following her release from a hospital where she underwent surgery, her personal physician said Friday.","Burma pro-democracy leader Aung San Suu Kyi will be released from a hospital after recovering from surgery but remain under detention at home, her personal physician said today.","Myanmar's pro-democracy leader Aung San Suu Kyi will be kept under house arrest following her release from a hospital where she underwent surgery, her personal physician said today.","Myanmar pro-democracy leader Aung San Suu Kyi will be released from a hospital after recovering from surgery but remain under detention at home, her personal physician said today.",1,1,corrected
"Myanmar's pro-democracy leader Aung San Suu Kyi will be kept under house arrest following her release from a hospital where she underwent surgery, her personal physician said Friday.","Burma pro-democracy leader Aung San Suu Kyi will be released from a hospital after recovering from surgery but remain under detention at home, her personal physician said today.","Burma's pro-democracy leader Aung San Suu Kyi will be kept under house arrest following her release from a hospital where she underwent surgery, her personal physician said today.","Burma pro-democracy leader Aung San Suu Kyi will be released from a hospital after recovering from surgery but remain under detention at home, her personal physician said today.",1,1,corrected
"Shattered Glass,""starring Hayden Christensen as Stephen Glass, debuted well with $80,000 in eight theaters.","""Shattered Glass"" _ starring Hayden Christensen as Stephen Glass, The New Republic journalist fired for fabricating stories _ debuted well with $80,000 in eight theaters.","Shattered Glass,""starring Hayden Christensen as Stephen Glass, debuted well with $80,000 in eight theaters.","""Shattered Glass"" _ starring Hayden Christensen as Stephen Glass, The New Republic journalist fired for fabricating stories _ debuted well with $80,000 in eight theaters.",0,0,no need to correct
